timestamp,status,after_hours
2026-08-22 08:12,answered,no
2026-08-22 09:03,missed,no
2026-08-22 09:47,answered,no
2026-08-22 11:20,missed,no
2026-08-22 12:05,answered,no
2026-08-22 13:31,missed,no
2026-08-22 14:58,answered,no
2026-08-22 16:22,missed,no
2026-08-22 17:44,answered,no
2026-08-22 18:10,missed,yes
2026-08-22 19:35,missed,yes
2026-08-22 20:02,missed,yes
2026-08-22 21:15,missed,yes
2026-08-22 07:50,answered,no
2026-08-22 10:38,answered,no
2026-08-22 15:12,missed,no
2026-08-22 22:40,missed,yes
2026-08-22 08:55,answered,no
2026-08-22 13:05,answered,no
2026-08-22 16:47,missed,no
