lead_id,source,lead_received,first_response
L001,Google Ads,2026-08-17 08:12,2026-08-17 08:15
L002,Website Form,2026-08-17 09:03,2026-08-17 09:41
L003,Facebook,2026-08-17 10:20,2026-08-17 10:23
L004,Referral,2026-08-17 11:05,2026-08-17 11:07
L005,Google Ads,2026-08-17 12:47,2026-08-17 14:10
L006,Website Form,2026-08-17 13:15,2026-08-17 13:19
L007,Yelp,2026-08-17 14:02,2026-08-18 09:00
L008,Google Ads,2026-08-17 15:30,2026-08-17 15:33
L009,Website Form,2026-08-17 16:44,2026-08-17 17:20
L010,Referral,2026-08-17 17:10,2026-08-17 17:12
L011,Google Ads,2026-08-18 08:05,2026-08-18 08:52
L012,Facebook,2026-08-18 09:18,2026-08-18 09:21
L013,Website Form,2026-08-18 10:40,2026-08-18 11:35
L014,Yelp,2026-08-18 11:55,2026-08-18 12:02
L015,Google Ads,2026-08-18 13:22,2026-08-18 13:24
L016,Website Form,2026-08-18 14:08,
L017,Referral,2026-08-18 15:41,2026-08-18 15:44
L018,Google Ads,2026-08-18 16:50,2026-08-18 18:05
L019,Facebook,2026-08-18 18:33,2026-08-19 08:15
L020,Website Form,2026-08-19 08:02,2026-08-19 08:06
L021,Google Ads,2026-08-19 09:47,2026-08-19 09:49
L022,Yelp,2026-08-19 10:56,2026-08-19 11:48
L023,Website Form,2026-08-19 12:30,2026-08-19 12:33
L024,Referral,2026-08-19 14:15,2026-08-19 14:17
L025,Google Ads,2026-08-19 16:02,2026-08-19 16:58
